"ROUND","SEX","AGEYRS","SENS_M","SPEC_M"
"R015","F",15,0.851851851851852,0.5
"R015","F",16,0.851851851851852,0.5
"R015","F",17,0.851851851851852,0.5
"R015","F",18,0.851851851851852,0.5
"R015","F",19,0.851851851851852,0.5
"R015","F",20,0.851942186088528,0.519736842105263
"R015","F",21,0.852122854561879,0.559210526315789
"R015","F",22,0.85230352303523,0.598684210526316
"R015","F",23,0.852484191508582,0.638157894736842
"R015","F",24,0.852664859981933,0.677631578947368
"R015","F",25,0.852845528455284,0.717105263157895
"R015","F",26,0.853026196928636,0.756578947368421
"R015","F",27,0.853206865401987,0.796052631578947
"R015","F",28,0.853387533875339,0.835526315789474
"R015","F",29,0.85356820234869,0.875
"R015","F",30,0.847436723423838,0.897245240761478
"R015","F",31,0.834993097100782,0.902262038073908
"R015","F",32,0.822549470777727,0.907278835386338
"R015","F",33,0.810105844454671,0.912295632698768
"R015","F",34,0.797662218131615,0.917312430011198
"R015","F",35,0.78521859180856,0.922329227323628
"R015","F",36,0.772774965485504,0.927346024636058
"R015","F",37,0.760331339162448,0.932362821948488
"R015","F",38,0.747887712839392,0.937379619260918
"R015","F",39,0.735444086516337,0.942396416573348
"R015","F",40,0.723000460193281,0.947413213885778
"R015","F",41,0.710556833870226,0.952430011198208
"R015","F",42,0.69811320754717,0.957446808510638
"R015","F",43,0.69811320754717,0.957446808510638
"R015","F",44,0.69811320754717,0.957446808510638
"R015","F",45,0.69811320754717,0.957446808510638
"R015","F",46,0.69811320754717,0.957446808510638
"R015","F",47,0.69811320754717,0.957446808510638
"R015","F",48,0.69811320754717,0.957446808510638
"R015","F",49,0.69811320754717,0.957446808510638
"R015","M",15,0.909090909090909,0.7
"R015","M",16,0.909090909090909,0.7
"R015","M",17,0.909090909090909,0.7
"R015","M",18,0.909090909090909,0.7
"R015","M",19,0.909090909090909,0.7
"R015","M",20,0.907513914656772,0.715
"R015","M",21,0.904359925788497,0.745
"R015","M",22,0.901205936920223,0.775
"R015","M",23,0.898051948051948,0.805
"R015","M",24,0.894897959183673,0.835
"R015","M",25,0.891743970315399,0.865
"R015","M",26,0.888589981447124,0.895
"R015","M",27,0.88543599257885,0.925
"R015","M",28,0.882282003710575,0.955
"R015","M",29,0.879128014842301,0.985
"R015","M",30,0.874448979591837,0.998181818181818
"R015","M",31,0.868244897959184,0.994545454545455
"R015","M",32,0.862040816326531,0.990909090909091
"R015","M",33,0.855836734693878,0.987272727272727
