"ROUND","LOC_LABEL","SEX_LABEL","AGE_LABEL","N","HIV_N","VLNS_N","ARV_N","LOC","SEX","AGE","ROW_ID","NONVLNS","EMPIRICAL_NONVLNS_IN_HIV","EMPIRICAL_VLNS_IN_HIV"
18,"inland","F",38,22,9,0,0,0,0,24,384,9,1,0
15,"fishing","M",39,25,25,22,0,1,1,25,385,3,0.12,0.88
16,"fishing","M",39,7,2,0,0,1,1,25,386,2,1,0
17,"fishing","M",39,10,3,1,0,1,1,25,387,2,0.666666666666667,0.333333333333333
18,"fishing","M",39,14,4,2,0,1,1,25,388,2,0.5,0.5
15,"inland","M",39,2,2,0,0,0,1,25,389,2,1,0
16,"inland","M",39,34,5,2,0,0,1,25,390,3,0.6,0.4
17,"inland","M",39,23,5,1,0,0,1,25,391,4,0.8,0.2
18,"inland","M",39,17,2,1,0,0,1,25,392,1,0.5,0.5
15,"fishing","F",39,25,25,13,0,1,0,25,393,12,0.48,0.52
16,"fishing","F",39,5,3,1,0,1,0,25,394,2,0.666666666666667,0.333333333333333
17,"fishing","F",39,6,5,2,0,1,0,25,395,3,0.6,0.4
18,"fishing","F",39,10,5,1,0,1,0,25,396,4,0.8,0.2
15,"inland","F",39,3,3,0,0,0,0,25,397,3,1,0
16,"inland","F",39,26,10,3,0,0,0,25,398,7,0.7,0.3
17,"inland","F",39,25,8,1,0,0,0,25,399,7,0.875,0.125
18,"inland","F",39,19,4,0,0,0,0,25,400,4,1,0
15,"fishing","M",40,19,19,11,0,1,1,26,401,8,0.421052631578947,0.578947368421053
16,"fishing","M",40,14,7,6,0,1,1,26,402,1,0.142857142857143,0.857142857142857
17,"fishing","M",40,7,5,2,0,1,1,26,403,3,0.6,0.4
18,"fishing","M",40,17,6,2,0,1,1,26,404,4,0.666666666666667,0.333333333333333
15,"inland","M",40,5,5,4,0,0,1,26,405,1,0.2,0.8
16,"inland","M",40,39,8,3,0,0,1,26,406,5,0.625,0.375
17,"inland","M",40,15,6,2,0,0,1,26,407,4,0.666666666666667,0.333333333333333
18,"inland","M",40,19,2,1,0,0,1,26,408,1,0.5,0.5
15,"fishing","F",40,16,16,3,0,1,0,26,409,13,0.8125,0.1875
16,"fishing","F",40,2,2,0,0,1,0,26,410,2,1,0
17,"fishing","F",40,5,2,1,0,1,0,26,411,1,0.5,0.5
18,"fishing","F",40,7,2,0,0,1,0,26,412,2,1,0
15,"inland","F",40,2,2,0,0,0,0,26,413,2,1,0
16,"inland","F",40,32,3,1,0,0,0,26,414,2,0.666666666666667,0.333333333333333
17,"inland","F",40,28,13,2,0,0,0,26,415,11,0.846153846153846,0.153846153846154
18,"inland","F",40,12,3,0,0,0,0,26,416,3,1,0
15,"fishing","M",41,15,15,11,0,1,1,27,417,4,0.266666666666667,0.733333333333333
16,"fishing","M",41,10,5,1,0,1,1,27,418,4,0.8,0.2
17,"fishing","M",41,10,7,6,0,1,1,27,419,1,0.142857142857143,0.857142857142857
18,"fishing","M",41,7,1,0,0,1,1,27,420,1,1,0
15,"inland","M",41,0,0,0,0,0,1,27,421,0,NA,NA
16,"inland","M",41,17,4,0,0,0,1,27,422,4,1,0
17,"inland","M",41,20,7,1,0,0,1,27,423,6,0.857142857142857,0.142857142857143
18,"inland","M",41,14,3,1,0,0,1,27,424,2,0.666666666666667,0.333333333333333
15,"fishing","F",41,10,10,4,0,1,0,27,425,6,0.6,0.4
16,"fishing","F",41,4,4,1,0,1,0,27,426,3,0.75,0.25
17,"fishing","F",41,4,0,0,0,1,0,27,427,0,NA,NA
18,"fishing","F",41,6,3,0,0,1,0,27,428,3,1,0
15,"inland","F",41,1,1,1,0,0,0,27,429,0,0,1
16,"inland","F",41,27,10,6,0,0,0,27,430,4,0.4,0.6
17,"inland","F",41,18,8,3,0,0,0,27,431,5,0.625,0.375
18,"inland","F",41,7,3,0,0,0,0,27,432,3,1,0
15,"fishing","M",42,19,19,12,0,1,1,28,433,7,0.368421052631579,0.631578947368421
16,"fishing","M",42,4,3,3,0,1,1,28,434,0,0,1
17,"fishing","M",42,7,1,1,0,1,1,28,435,0,0,1
18,"fishing","M",42,15,9,4,0,1,1,28,436,5,0.555555555555556,0.444444444444444
15,"inland","M",42,0,0,0,0,0,1,28,437,0,NA,NA
16,"inland","M",42,24,4,2,0,0,1,28,438,2,0.5,0.5
17,"inland","M",42,25,7,2,0,0,1,28,439,5,0.714285714285714,0.285714285714286
18,"inland","M",42,21,1,0,0,0,1,28,440,1,1,0
15,"fishing","F",42,14,14,7,0,1,0,28,441,7,0.5,0.5
16,"fishing","F",42,6,3,2,0,1,0,28,442,1,0.333333333333333,0.666666666666667
17,"fishing","F",42,6,1,0,0,1,0,28,443,1,1,0
18,"fishing","F",42,10,3,0,0,1,0,28,444,3,1,0
15,"inland","F",42,0,0,0,0,0,0,28,445,0,NA,NA
16,"inland","F",42,23,6,3,0,0,0,28,446,3,0.5,0.5
17,"inland","F",42,9,4,0,0,0,0,28,447,4,1,0
18,"inland","F",42,13,2,0,0,0,0,28,448,2,1,0
15,"fishing","M",43,13,13,10,0,1,1,29,449,3,0.230769230769231,0.769230769230769
16,"fishing","M",43,9,1,0,0,1,1,29,450,1,1,0
17,"fishing","M",43,11,1,1,0,1,1,29,451,0,0,1
18,"fishing","M",43,13,5,0,0,1,1,29,452,5,1,0
15,"inland","M",43,1,1,1,0,0,1,29,453,0,0,1
16,"inland","M",43,23,2,1,0,0,1,29,454,1,0.5,0.5
17,"inland","M",43,14,0,0,0,0,1,29,455,0,NA,NA
18,"inland","M",43,15,2,0,0,0,1,29,456,2,1,0
15,"fishing","F",43,9,9,6,0,1,0,29,457,3,0.333333333333333,0.666666666666667
16,"fishing","F",43,0,0,0,0,1,0,29,458,0,NA,NA
17,"fishing","F",43,4,1,0,0,1,0,29,459,1,1,0
18,"fishing","F",43,7,4,1,0,1,0,29,460,3,0.75,0.25
15,"inland","F",43,1,1,0,0,0,0,29,461,1,1,0
16,"inland","F",43,9,1,0,0,0,0,29,462,1,1,0
17,"inland","F",43,11,3,1,0,0,0,29,463,2,0.666666666666667,0.333333333333333
18,"inland","F",43,15,4,0,0,0,0,29,464,4,1,0
15,"fishing","M",44,7,7,4,0,1,1,30,465,3,0.428571428571429,0.571428571428571
16,"fishing","M",44,5,4,2,0,1,1,30,466,2,0.5,0.5
17,"fishing","M",44,3,0,0,0,1,1,30,467,0,NA,NA
18,"fishing","M",44,11,7,3,0,1,1,30,468,4,0.571428571428571,0.428571428571429
15,"inland","M",44,1,1,1,0,0,1,30,469,0,0,1
16,"inland","M",44,22,4,1,0,0,1,30,470,3,0.75,0.25
17,"inland","M",44,12,1,1,0,0,1,30,471,0,0,1
18,"inland","M",44,9,1,0,0,0,1,30,472,1,1,0
15,"fishing","F",44,5,5,3,0,1,0,30,473,2,0.4,0.6
16,"fishing","F",44,4,3,1,0,1,0,30,474,2,0.666666666666667,0.333333333333333
17,"fishing","F",44,5,1,0,0,1,0,30,475,1,1,0
18,"fishing","F",44,5,1,0,0,1,0,30,476,1,1,0
15,"inland","F",44,1,1,1,0,0,0,30,477,0,0,1
16,"inland","F",44,14,0,0,0,0,0,30,478,0,NA,NA
17,"inland","F",44,17,3,0,0,0,0,30,479,3,1,0
18,"inland","F",44,8,2,0,0,0,0,30,480,2,1,0
15,"fishing","M",45,19,19,12,0,1,1,31,481,7,0.368421052631579,0.631578947368421
16,"fishing","M",45,9,5,4,0,1,1,31,482,1,0.2,0.8
17,"fishing","M",45,10,4,2,0,1,1,31,483,2,0.5,0.5
18,"fishing","M",45,15,6,0,0,1,1,31,484,6,1,0
15,"inland","M",45,4,4,2,0,0,1,31,485,2,0.5,0.5
16,"inland","M",45,19,3,0,0,0,1,31,486,3,1,0
17,"inland","M",45,15,6,5,0,0,1,31,487,1,0.166666666666667,0.833333333333333
