"Sex","round_label","age","incidence","lb","ub"
"Female",10,15,0.0110756144896898,0.00591486657271284,0.019542251801796
"Female",10,16,0.0118472171514901,0.00732982503263957,0.0187417080061692
"Female",10,17,0.012800906892604,0.00877919184105506,0.0183675641338485
"Female",10,18,0.0137235450042173,0.0101582201065967,0.0183894935813719
"Female",10,19,0.0145742806620782,0.0113200085364498,0.0187441474889907
"Female",10,20,0.0153430429979754,0.0123074029006445,0.0191835371431489
"Female",10,21,0.0158652618551835,0.0129561055625773,0.019551004654474
"Female",10,22,0.0162138679545615,0.0132258408698567,0.0199112810353729
"Female",10,23,0.0163768724690945,0.0133118685758615,0.0201058214669443
"Female",10,24,0.0163880097766694,0.0133397228198385,0.0200846606602449
"Female",10,25,0.0162698944462715,0.0133019309771446,0.0199604339087931
"Female",10,26,0.0160249858924809,0.0131476793232523,0.0196063285538605
"Female",10,27,0.0156666519736453,0.0128774210204958,0.0191316727350045
"Female",10,28,0.0152659274192883,0.0124585458447293,0.0187187180986691
"Female",10,29,0.0148530264262777,0.0119546442214597,0.0184298352174402
"Female",10,30,0.0144510457684358,0.0114523314669812,0.0181636846309932
"Female",10,31,0.0141205059447431,0.0110298089371371,0.0180083887838332
"Female",10,32,0.013840082641205,0.010700054380095,0.017866949192387
"Female",10,33,0.0135806290492217,0.0104726066010031,0.0176197034018142
"Female",10,34,0.013301454906381,0.0102226513393008,0.0174195300482778
"Female",10,35,0.012914905897154,0.00982448691996342,0.0171076488334068
"Female",10,36,0.0124066563141959,0.00932105329464004,0.0165976403283674
"Female",10,37,0.0117399407625881,0.00869468264503288,0.0159870010027612
"Female",10,38,0.0109730198421866,0.00799035871399615,0.0151435334443431
"Female",10,39,0.0101490664335129,0.00725194810014871,0.0142137749944446
"Female",10,40,0.0093614184467563,0.00656405811992584,0.0132644657311613
"Female",10,41,0.00863536559498002,0.00594686004465233,0.0123984572637146
"Female",10,42,0.00798407625593651,0.00541626978153319,0.0115891809538974
"Female",10,43,0.00742674753269726,0.00497100904657753,0.0110176767538195
"Female",10,44,0.00695162819604199,0.00450056564960205,0.0105497807302922
"Female",10,45,0.00650709640737145,0.00400483868360725,0.0103264935287363
"Female",10,46,0.00608957451179277,0.00348033862968478,0.0102842468959686
"Female",10,47,0.00568965573056969,0.00294338488570769,0.0106279225593539
"Female",10,48,0.0053067507762887,0.00240962899715697,0.0111244659754541
"Female",10,49,0.00493567157594943,0.00195293505560501,0.0118733693195251
"Female",11,15,0.00997053411179977,0.00537950478884291,0.017537336585132
"Female",11,16,0.010859498333066,0.00674425791661777,0.0170936292735194
"Female",11,17,0.0118811479797473,0.00815456391589322,0.0171098939057745
"Female",11,18,0.0129204069215266,0.00953958336281395,0.0173347413459415
"Female",11,19,0.0138959122648995,0.0107729271096243,0.0178992629029372
"Female",11,20,0.0147851679272446,0.011785876923575,0.0185324560052742
"Female",11,21,0.0154735857223737,0.0125340541861728,0.0190549757640665
"Female",11,22,0.0159295416592611,0.0129045246811204,0.0195380334987796
"Female",11,23,0.0161821415629428,0.0131283461811002,0.0197796211303456
"Female",11,24,0.0162082810311698,0.0132074793178334,0.0197213948843737
"Female",11,25,0.0160576909390433,0.0131885185693411,0.0194853594079789
"Female",11,26,0.0157841272347718,0.0129865963478223,0.019135521970195
"Female",11,27,0.0153801814272364,0.0126797373586347,0.0185993398138074
"Female",11,28,0.0149188997093362,0.012253666025715,0.0180733107290664
"Female",11,29,0.014429603006168,0.011739695371305,0.0176485756198021
"Female",11,30,0.0140015456978854,0.0112386721840967,0.0173296444248885
"Female",11,31,0.0136361624516978,0.0107959319711239,0.0170922708761462
"Female",11,32,0.0133747473362231,0.0105192762516069,0.0169183603629577
"Female",11,33,0.0131805331352022,0.0103104913941496,0.0167952774026598
"Female",11,34,0.0129431009711078,0.010085641070132,0.0166659161431095
"Female",11,35,0.0126718192056172,0.00979605472094975,0.0164172075625353
"Female",11,36,0.0123054534184868,0.00938490666000465,0.016186132494619
"Female",11,37,0.0118143209893594,0.00891032472461498,0.0157198399810832
"Female",11,38,0.0112034937421159,0.00830371189007669,0.0152147406761306
"Female",11,39,0.0105685956929379,0.00765122776057333,0.0145428902176966
"Female",11,40,0.00997704959952194,0.0070920170033004,0.0139269760232681
"Female",11,41,0.00939957945173857,0.00658236428659548,0.0133313361036738
"Female",11,42,0.00891136300100925,0.00620201560557048,0.0126882534666587
"Female",11,43,0.0085206490971311,0.00589242675213593,0.0122679709870184
"Female",11,44,0.00820369326438347,0.00559122777909811,0.0119487499323062
"Female",11,45,0.00793735580225089,0.005220915157708,0.0119576385748962
"Female",11,46,0.00765416860120299,0.00472557880800298,0.0122032315275039
"Female",11,47,0.00737301147054785,0.00423675500818502,0.0126133243922477
"Female",11,48,0.00711718129328367,0.00363787719046185,0.013647032689243
"Female",11,49,0.00684461206679959,0.00308478176285057,0.015010859636192
"Female",12,15,0.00876888035758143,0.00458533019174408,0.0159864605036074
"Female",12,16,0.00978023742816823,0.00585074890457159,0.0159693668061021
"Female",12,17,0.0109512219304321,0.00732754950923684,0.0162584395326894
"Female",12,18,0.0122191786062327,0.00882915483832919,0.0168139139314599
"Female",12,19,0.0134511972434125,0.0102057865812269,0.0177426936415644
"Female",12,20,0.0145619842248505,0.0113838828259491,0.01855091699158
"Female",12,21,0.0154703046961662,0.01227105480043,0.0194032830874927
"Female",12,22,0.0160794269648395,0.0128682633137915,0.0200628202741312
"Female",12,23,0.0163781304557159,0.0131573846572449,0.0203724769438991
"Female",12,24,0.0164234019932606,0.0132486236531931,0.0202835538814323
