"Sex","round_label","age","incidence","lb","ub"
"Female",10,15,0.0149456083839357,0.00841947530700187,0.0263511308902501
"Female",10,16,0.0154058150073487,0.0098533651054219,0.0243704454960058
"Female",10,17,0.0161652686895501,0.0111783963576022,0.0227790925896307
"Female",10,18,0.0165995306987662,0.0123442979224835,0.0206778096648787
"Female",10,19,0.016500709193283,0.013313265189697,0.0199222688107643
"Female",10,20,0.0162000395500858,0.0138828716990122,0.0192982891265797
"Female",10,21,0.0159077713283567,0.0137423513611486,0.0185157224078935
"Female",10,22,0.0156103692134261,0.0132985895646956,0.0178102929410321
"Female",10,23,0.015260791866342,0.0125675899025015,0.0170179551300927
"Female",10,24,0.0145475301498361,0.0119424613503198,0.0167537443820849
"Female",10,25,0.0134093448337245,0.0108138303280503,0.0163247792915848
"Female",10,26,0.0123722797506568,0.00978318388670298,0.0159143266371819
"Female",10,27,0.0116126668487337,0.00857128508401942,0.0158395726681832
"Female",10,28,0.0110699203091116,0.0075625035261176,0.0160017804327543
"Female",10,29,0.0106839364123706,0.00713957891222342,0.0156360635875471
"Female",10,30,0.0101287772899013,0.00679136065800528,0.015192098144577
"Female",10,31,0.00969499365690558,0.00630837743546293,0.0149363686071328
"Female",10,32,0.00940643142457871,0.00576999437027305,0.0141535896891436
"Female",10,33,0.00898916342045819,0.00537564469046404,0.0141805076297378
"Female",10,34,0.00904296171390549,0.00543480148262699,0.0135251048048639
"Female",10,35,0.00871958994567256,0.00526475576207131,0.0131661104434139
"Female",10,36,0.00886358683527118,0.00521407178622285,0.013154032620982
"Female",10,37,0.00872154645857138,0.00475403127488824,0.014011951203593
"Female",10,38,0.00825812834138723,0.00429237269078662,0.0131727699574542
"Female",10,39,0.00784850204733823,0.00410196711574791,0.012865904884086
"Female",10,40,0.0071582576538354,0.0038834969892805,0.0121837126701177
"Female",10,41,0.00610281795941294,0.00347331249139394,0.0108708271362391
"Female",10,42,0.00494202035768783,0.00292908211017212,0.0090456926831793
"Female",10,43,0.00387246445797248,0.00219495831360307,0.00704185040562472
"Female",10,44,0.002870978444924,0.00157725369207214,0.0049522913503555
"Female",10,45,0.00191948779289002,0.0011453597646157,0.00311701366172857
"Female",10,46,0.00115045686392747,0.000503078029825924,0.00189419749538626
"Female",10,47,0.000515814567982273,0.000125471727119255,0.000947435065168994
"Female",10,48,0.000124195592269903,7.28278037754245e-07,0.000428225103465126
"Female",10,49,3.02103606993183e-05,1.06060855740842e-07,0.000887971004307971
"Female",11,15,0.00599711861363356,0.00155480290886646,0.0118668552943462
"Female",11,16,0.00781159113229788,0.00310019699029715,0.0126205153139151
"Female",11,17,0.00906527052248104,0.00493756709333844,0.0133196705396154
"Female",11,18,0.010757703748894,0.00691349370252561,0.0140612339910892
"Female",11,19,0.012063878417891,0.00891575139803057,0.0149236624177741
"Female",11,20,0.0132961284786664,0.0107074889183021,0.016264303238178
"Female",11,21,0.01440852767885,0.0118392812069417,0.0165438374234443
"Female",11,22,0.0152569718015946,0.012912662233176,0.0174386588641612
"Female",11,23,0.0158139822026202,0.0135295302705684,0.0183921995614162
"Female",11,24,0.0160494092190716,0.0139661352262726,0.0182605810613477
"Female",11,25,0.016035655773019,0.0139033777543522,0.0181057075498814
"Female",11,26,0.015852831140505,0.0135908053662951,0.0180297740819957
"Female",11,27,0.0154205319948104,0.0131994375367948,0.0175477110408525
"Female",11,28,0.0146593838307207,0.0122886731385093,0.0170895292892378
"Female",11,29,0.0138556922140351,0.0116606529649247,0.0163035711739683
"Female",11,30,0.0130229753404267,0.0108269843745565,0.0156451346989251
"Female",11,31,0.0120166834139455,0.00969137123216222,0.0151234205266751
"Female",11,32,0.0111661240359754,0.00870451015338482,0.014471488615375
"Female",11,33,0.0103713773006178,0.0078141089857356,0.0136435619969163
"Female",11,34,0.00955313204889697,0.00678722264161814,0.0127770579976586
"Female",11,35,0.00869963997791579,0.00594177315761081,0.0118484929174916
"Female",11,36,0.00743608831819017,0.0047533691876,0.010215144809596
"Female",11,37,0.00648500258141111,0.00372929440156812,0.00896159328118715
"Female",11,38,0.00596266893100126,0.00336068967907986,0.00857027348451742
"Female",11,39,0.00531018995082869,0.00311263674199858,0.00814733058827094
"Female",11,40,0.00481846958391081,0.00282721494151277,0.00791187605695262
"Female",11,41,0.00449434185235305,0.00273621858941386,0.00757610339271971
"Female",11,42,0.00443707136856383,0.0028651927042818,0.00704469587955969
"Female",11,43,0.00436333303396102,0.00304659946710308,0.00673998246190378
"Female",11,44,0.00455031923878253,0.00336720079478391,0.00673866656225396
"Female",11,45,0.00478693945941496,0.0035158581461512,0.00694417874501554
"Female",11,46,0.00500831964746424,0.00329088086466581,0.00726642322790924
"Female",11,47,0.00562810717110903,0.0030636751291423,0.00885085245332767
"Female",11,48,0.0063156715277565,0.00275716748116244,0.0105580920667756
"Female",11,49,0.0072403209497231,0.00255359662120731,0.0132719150361092
"Female",12,15,0.00675266979059526,0.00220339760644105,0.0138489054407249
"Female",12,16,0.00786931170371008,0.00370535164843857,0.0142491496254888
"Female",12,17,0.00940455454419143,0.00539275034236764,0.014620111794073
"Female",12,18,0.0108179190625683,0.00709354376514061,0.014966722047055
"Female",12,19,0.0119018216436082,0.0085223035309662,0.0153337066093128
"Female",12,20,0.0128608242403355,0.00965963853209198,0.0159794573403599
"Female",12,21,0.0138108388519057,0.0106562087635025,0.0165789819238423
"Female",12,22,0.0146118642938015,0.0117688429172935,0.0176554446415726
"Female",12,23,0.0154014228652387,0.0126756625544357,0.0185582665822244
"Female",12,24,0.015876733680952,0.0132474294568175,0.0189281493402517
"Female",12,25,0.0161540644975512,0.0137100632250113,0.0188374294547838
"Female",12,26,0.0164229800665018,0.013667039743661,0.0185638884110043
"Female",12,27,0.0161139647268501,0.0134542909902027,0.0181625250804585
"Female",12,28,0.0155860644455199,0.0131619872155148,0.0191499321857638
"Female",12,29,0.0153666150729547,0.0131718916312503,0.0194742990911687
"Female",12,30,0.0151704712345817,0.0130874795931966,0.0189581815981736
