"ROUND","SEX","COMM","AGEYRS","COUNT","TOTAL_COUNT"
"R014","F","inland",39,9,21
"R007","F","inland",34,0,26
"R006","F","inland",38,0,11
"R007","F","inland",39,0,8
"R008","F","inland",40,0,10
"R009","F","inland",41,0,9
"R010","F","inland",42,0,8
"R011","F","inland",45,0,11
"R012","F","inland",46,3,12
"R013","F","inland",48,3,13
"R010","F","inland",33,0,29
"R011","F","inland",36,4,17
"R006","F","inland",35,0,30
"R009","M","inland",23,0,11
"R011","M","inland",26,0,20
"R013","M","inland",29,0,25
"R012","F","inland",31,13,43
"R013","F","inland",33,10,29
"R015","F","inland",36,29,58
"R016","F","inland",38,46,58
"R018","F","inland",41,52,54
"R018","F","inland",29,41,52
"R014","F","inland",34,12,30
"R015","F","inland",35,19,48
"R008","M","inland",34,0,23
"R012","M","inland",39,4,12
"R017","M","inland",48,18,21
"R018","M","inland",49,15,16
"R013","M","inland",31,0,13
"R014","M","inland",33,1,20
"R015","M","inland",34,5,30
"R016","M","inland",36,20,28
"R017","M","inland",38,25,29
"R018","M","inland",40,28,30
"R008","F","inland",33,0,28
"R009","F","inland",34,0,17
"R010","F","inland",35,0,17
"R012","F","inland",38,8,23
"R013","F","inland",40,6,18
"R014","F","inland",41,12,22
"R015","F","inland",43,16,26
"R017","F","inland",46,23,24
"R007","F","inland",22,0,21
"R014","F","inland",42,8,15
"R015","F","inland",44,12,27
"R016","F","inland",46,20,23
"R009","M","inland",34,0,11
"R014","F","inland",35,18,46
"R008","M","inland",20,0,7
"R009","M","inland",21,0,7
"R010","M","inland",21,0,7
"R011","M","inland",23,0,8
"R012","M","inland",25,1,14
"R013","M","inland",27,3,20
"R014","M","inland",28,3,18
"R015","M","inland",30,7,26
"R016","M","inland",32,17,26
"R017","M","inland",33,11,19
"R018","M","inland",35,20,30
"R008","F","inland",26,0,39
"R009","F","inland",27,0,34
"R010","F","inland",28,0,31
"R007","M","inland",46,0,3
"R008","M","inland",47,0,3
"R013","M","inland",42,4,16
"R014","M","inland",44,6,14
"R015S","M","fishing",46,6,14
"R017","F","inland",42,43,45
"R006","F","inland",18,0,12
"R007","F","inland",20,0,37
"R008","F","inland",20,0,21
"R011","M","inland",40,0,11
"R014","M","inland",45,1,12
"R009","M","inland",39,0,5
"R012","M","inland",45,5,12
"R008","F","inland",24,0,36
"R010","F","inland",26,0,24
"R011","F","inland",29,5,36
"R016","F","inland",37,33,37
"R017","F","inland",39,40,43
"R006","M","inland",31,0,13
"R006","F","inland",47,0,5
"R006","F","inland",26,0,46
"R007","F","inland",27,0,44
"R013","F","inland",35,12,35
"R018","F","inland",44,38,42
"R012","M","inland",26,0,19
"R006","F","inland",23,0,42
"R008","F","inland",25,0,42
"R009","F","inland",26,0,28
"R010","F","inland",27,0,28
"R015","F","fishing",30,11,54
"R016","F","fishing",34,36,49
"R017","F","fishing",35,42,54
"R018","F","fishing",37,51,52
"R016","M","inland",41,17,21
"R017","M","inland",43,13,16
"R018","M","inland",45,21,23
"R017","M","fishing",45,13,20
"R018","M","fishing",46,21,24
"R006","F","inland",20,0,30
"R007","F","inland",21,0,34
"R006","F","inland",33,0,28
"R014","M","inland",39,7,15
"R016","M","inland",43,12,16
"R018","M","inland",46,18,21
"R011","M","inland",27,0,14
"R008","F","inland",34,0,25
"R009","F","inland",35,0,15
"R011","F","inland",38,6,14
"R012","F","inland",40,9,21
"R013","F","inland",42,7,21
"R014","F","inland",43,8,18
"R017","F","inland",49,25,31
"R006","F","inland",25,0,26
"R007","F","inland",26,0,33
"R009","F","inland",28,0,36
"R010","M","inland",35,0,13
"R010","M","inland",27,0,12
"R012","M","inland",31,0,23
"R014","F","inland",30,8,36
"R015","F","inland",31,15,48
"R016","F","inland",33,29,49
"R017","F","inland",35,42,49
"R018","F","inland",36,32,38
"R006","M","inland",34,0,19
"R007","M","inland",35,0,23
"R008","M","inland",36,0,26
"R009","M","inland",37,0,13
"R010","M","inland",38,0,13
"R015","F","inland",38,22,44
"R016","F","inland",40,32,41
"R010","M","inland",22,0,8
"R006","M","inland",41,0,11
"R007","M","inland",42,0,7
"R011","M","inland",44,2,10
"R012","M","inland",46,4,10
"R013","M","inland",48,4,5
"R014","M","inland",49,4,5
"R008","F","inland",36,0,24
"R016","F","inland",32,32,47
"R017","F","inland",34,36,48
"R006","F","inland",40,0,17
"R007","F","inland",40,0,21
"R008","F","inland",41,0,17
"R011","F","inland",35,7,24
"R013","F","inland",39,8,22
"R014","F","inland",40,15,33
"R015","F","inland",42,18,31
"R016","F","inland",44,25,29
"R007","M","inland",40,0,17
"R015","F","fishing",39,11,28
"R015S","F","fishing",40,4,19
"R016","F","fishing",41,21,24
"R017","F","fishing",43,14,16
"R006","F","inland",22,0,21
"R014","F","inland",26,3,31
"R016","F","inland",30,35,51
"R017","F","inland",32,44,54
"R018","F","inland",34,41,46
"R008","F","inland",23,0,29
"R014","M","inland",31,3,23
"R015","M","inland",33,4,27
"R016","M","inland",34,20,33
"R017","M","inland",36,24,32
"R018","M","inland",38,20,26
"R006","F","inland",36,0,21
"R007","F","inland",37,0,25
"R007","F","inland",32,0,23
"R010","F","inland",36,0,14
