"ROUND","LOC_LABEL","SEX_LABEL","AGE_LABEL","N","HIV_N","VLNS_N","ARV_N","LOC","SEX","AGE","ROW_ID","NONVLNS","EMPIRICAL_NONVLNS_IN_HIV","EMPIRICAL_VLNS_IN_HIV"
16,"inland","M",19,243,3,3,0,0,1,5,88,0,0,1
17,"inland","M",19,287,2,1,0,0,1,5,89,1,0.5,0.5
18,"inland","M",19,240,3,3,0,0,1,5,90,0,0,1
15,"fishing","F",19,19,19,17,0,1,0,5,91,2,0.105263157894737,0.894736842105263
15.5,"fishing","F",19,1,1,1,0,1,0,5,92,0,0,1
16,"fishing","F",19,67,19,15,0,1,0,5,93,4,0.210526315789474,0.789473684210526
17,"fishing","F",19,59,11,4,0,1,0,5,94,7,0.636363636363636,0.363636363636364
18,"fishing","F",19,64,10,3,0,1,0,5,95,7,0.7,0.3
15,"inland","F",19,2,2,2,0,0,0,5,96,0,0,1
15.5,"inland","F",19,0,0,0,0,0,0,5,97,0,NA,NA
16,"inland","F",19,278,13,10,0,0,0,5,98,3,0.230769230769231,0.769230769230769
17,"inland","F",19,297,16,10,0,0,0,5,99,6,0.375,0.625
18,"inland","F",19,310,4,1,0,0,0,5,100,3,0.75,0.25
15,"fishing","M",20,12,12,11,0,1,1,6,101,1,0.0833333333333333,0.916666666666667
15.5,"fishing","M",20,1,1,1,0,1,1,6,102,0,0,1
16,"fishing","M",20,65,9,9,0,1,1,6,103,0,0,1
17,"fishing","M",20,40,1,1,0,1,1,6,104,0,0,1
18,"fishing","M",20,68,1,1,0,1,1,6,105,0,0,1
15,"inland","M",20,2,2,2,0,0,1,6,106,0,0,1
15.5,"inland","M",20,0,0,0,0,0,1,6,107,0,NA,NA
16,"inland","M",20,234,4,2,0,0,1,6,108,2,0.5,0.5
17,"inland","M",20,287,1,0,0,0,1,6,109,1,1,0
18,"inland","M",20,263,3,2,0,0,1,6,110,1,0.333333333333333,0.666666666666667
15,"fishing","F",20,26,26,20,0,1,0,6,111,6,0.230769230769231,0.769230769230769
15.5,"fishing","F",20,0,0,0,0,1,0,6,112,0,NA,NA
16,"fishing","F",20,74,24,20,0,1,0,6,113,4,0.166666666666667,0.833333333333333
