"ROUND","COMM","SEX","AGEYRS","PREVALENCE_SHARE_SEX_AND_AGE_CL","PREVALENCE_SHARE_SEX_AND_AGE_CU","PREVALENCE_SHARE_SEX_AND_AGE_M","PREVALENCE_SHARE_SEX_CL","PREVALENCE_SHARE_SEX_CU","PREVALENCE_SHARE_SEX_M"
"10","inland","F",15,0.00457753458286098,0.0142770135874011,0.00872890001522563,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",16,0.00572296099355399,0.0142406596403523,0.00957392177640971,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",17,0.00705614623165554,0.0144836615893156,0.0105648158476665,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",18,0.00867512784072123,0.0151549077187989,0.0117758525242835,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",19,0.0104406632950824,0.0162135272329098,0.0131808433290533,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",20,0.0123421712064481,0.017766248581578,0.0149097204906747,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",21,0.0144064183994281,0.0197072748753009,0.016882912927153,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",22,0.0169647996435821,0.0222986096110496,0.0194374778118852,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",23,0.0197056983864587,0.0252466231158942,0.022320846394565,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",24,0.022012861630753,0.0277650822462958,0.0247845522889055,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",25,0.0241461420803445,0.0302780616534934,0.0271067446183826,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",26,0.0259329097964428,0.0323303350847862,0.0290852093755347,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",27,0.027232311849479,0.0336238426700619,0.030387744787049,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",28,0.027973788629911,0.0342467800630002,0.0310187696505999,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",29,0.0279362574557345,0.0341956778486202,0.030934570716237,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",30,0.0273323261849779,0.0334337826556797,0.0302022183967076,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",31,0.0258340829698179,0.0315967876355522,0.0285476203218775,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",32,0.023809831805572,0.0291356354156387,0.0263705590241119,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",33,0.0215823095545181,0.0265627888480589,0.0240076652775643,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",34,0.0190442892012313,0.0235168776316908,0.0212721901138914,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",35,0.0169009855118299,0.0210588255869959,0.0189775887607306,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",36,0.0156781850003991,0.0197983157269943,0.0177143486722173,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",37,0.0147406679084716,0.0187745982825568,0.0167282264378034,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",38,0.0140206440504225,0.0180204385131965,0.0159679118631201,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",39,0.0133371184007955,0.0173352218673814,0.0152517968210148,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",40,0.0124692568834767,0.0164239449276357,0.0143423975882852,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",41,0.0115214196271249,0.0154181519422361,0.0133597231432736,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",42,0.0103982763470472,0.0141574259506361,0.0121727837129313,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",43,0.00917512188514504,0.0127387543899394,0.0108711658818861,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",44,0.00783202922929501,0.0112251747061089,0.00942940655040129,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",45,0.00645659437002738,0.00972299752751753,0.00800054354778297,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",46,0.00513311977095814,0.0082706525367634,0.00660066687723615,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",47,0.00391401797041397,0.00692007607695402,0.00529988634272889,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",48,0.0028146105792274,0.00565665770403435,0.00409415638569684,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","F",49,0.00188862354422187,0.00447385445079584,0.00301103927458702,0.573906986834686,0.634606352414917,0.604053557201808
"10","inland","M",15,4.57864202872763e-05,0.00354551879128091,0.00066222729460054,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",16,8.32535459342733e-05,0.00317744505947862,0.000807244208884793,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",17,0.000163501279339105,0.00327567298563116,0.00106809804743555,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",18,0.000351796321654929,0.00367532316853737,0.00149703888963866,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",19,0.000747589611022822,0.00435005747544483,0.00217512072253525,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",20,0.00159384430078856,0.00534139216800198,0.00320495156069732,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",21,0.00294679026727897,0.00697980360380065,0.0046795376455472,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",22,0.00466784656060474,0.00973010141197828,0.00664975847649121,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",23,0.00662393040543668,0.0130751084806163,0.00901271507926238,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",24,0.00877500184475996,0.0159571174657637,0.0116663980893151,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",25,0.011184601625276,0.0186010443564549,0.0145263527138333,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",26,0.013247477240893,0.0208989917314995,0.0168904739074188,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",27,0.0148172395320985,0.0228839941370192,0.0187994484005481,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",28,0.0160545666506015,0.0242931876732836,0.0202394999169662,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",29,0.0169055702531695,0.0246790540937649,0.0208359315431817,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",30,0.017383721259803,0.0248110813911311,0.0209840301953663,0.365393647585083,0.426093013165314,0.395946442798192
"10","inland","M",31,0.0170613452813685,0.024725900112125,0.0205815291053319,0.365393647585083,0.426093013165314,0.395946442798192
