"AGEYRS","SEX","COMM","ROUND","variable","CL","CU","M"
15,"F","inland","R014","PROP_DIAGNOSED",0.411796156139132,0.547833864770866,0.437125742190696
15,"F","inland","R014","PROP_SUPPRESSED",0.183894377119725,0.270791061737601,0.203717721280688
15,"F","inland","R014","PROP_SUPPRESSION_GIVEN_ART",1.67792637371374,19.7414088561316,4.62931569290962
15,"F","inland","R014","PROP_SUPPRESSION_GIVEN_DIAGNOSED",0.442539006861364,0.521624706661117,0.462842390212034
15,"F","inland","R015","PROP_ART_COVERAGE",0.212227531998202,0.899621201517387,0.506714304882278
15,"F","inland","R015","PROP_ART_COVERAGE_GIVEN_DIAGNOSED",0.391354221158639,1,0.700363660826193
15,"F","inland","R015","PROP_DIAGNOSED",0.488237941805483,1,0.70082829026261
15,"F","inland","R015","PROP_SUPPRESSED",0.174202340246413,0.67716727807579,0.390088515077782
15,"F","inland","R015","PROP_SUPPRESSION_GIVEN_ART",0.475383327692155,1,0.804683779022607
15,"F","inland","R015","PROP_SUPPRESSION_GIVEN_DIAGNOSED",0.290183704350901,0.831527442551188,0.54707559703743
15,"F","inland","R016","PROP_ART_COVERAGE",0.365600168918258,0.629712849265635,0.491367344320594
15,"F","inland","R016","PROP_ART_COVERAGE_GIVEN_DIAGNOSED",0.582908666756887,0.794593666798944,0.688755572404653
15,"F","inland","R016","PROP_DIAGNOSED",0.604207382552124,0.832552001533074,0.712043696380165
15,"F","inland","R016","PROP_SUPPRESSED",0.241543746990974,0.553153040090721,0.38480719904584
15,"F","inland","R016","PROP_SUPPRESSION_GIVEN_ART",0.477178806029598,1,0.80608425388277
15,"F","inland","R016","PROP_SUPPRESSION_GIVEN_DIAGNOSED",0.335776545733934,0.72071949051456,0.550276387979384
15,"F","inland","R017","PROP_ART_COVERAGE",0.592868810501721,0.830820032324765,0.710485527337583
15,"F","inland","R017","PROP_ART_COVERAGE_GIVEN_DIAGNOSED",0.759461990382587,0.930522490158299,0.84294008575998
15,"F","inland","R017","PROP_DIAGNOSED",0.74979648691466,0.940189400484064,0.84121534756849
