"AGEYRS","SEX","COMM","ROUND","PROP_UNSUPPRESSED_EMPIRICAL","PROP_ART_COVERAGE_EMPIRICAL","SUPPRESSION_RATE_EMPIRICAL","PROP_ART_COVERAGE_CL","PROP_ART_COVERAGE_CU","PROP_ART_COVERAGE_M","PROP_DIAGNOSED_CL","PROP_DIAGNOSED_CU","PROP_DIAGNOSED_M","PROP_SUPPRESSED_CL","PROP_SUPPRESSED_CU","PROP_SUPPRESSED_M","PROP_UNSUPPRESSED_CL","PROP_UNSUPPRESSED_CU","PROP_UNSUPPRESSED_M","SUPPRESSION_RATE_CL","SUPPRESSION_RATE_CU","SUPPRESSION_RATE_M"
15,"F","fishing","R015",NA,NA,1,0.0991772438561463,0.909190713388677,0.243477916333833,0.0991772438561463,0.909190713388677,0.243477916333833,0.086434672112411,0.340946533354576,0.193592219534636,0.659053466645424,0.913565327887589,0.806407780465364,0.246007369132392,1,0.888164485065102
15,"F","fishing","R016",0.5,0.5,1,0.19316611736205,0.738143284535692,0.407704831417465,0.19316611736205,0.738143284535692,0.407704831417465,0.0972532283186195,0.688326019798049,0.295627577986869,0.311673980201951,0.902746771681381,0.704372422013131,0.231570481145566,1,0.888164485065102
15,"F","fishing","R017",0,1,1,0.562499097191438,0.837265933838478,0.691466483590199,0.562499097191438,0.837265933838478,0.691466483590199,0.416049917556333,0.760884399806344,0.623018757910937,0.239115600193656,0.583950082443667,0.376981242089063,0.59586327586168,1,0.918759443092231
15,"F","fishing","R018",NA,NA,NA,0.363418684883617,0.83365660688596,0.642804559782737,0.363418684883617,0.83365660688596,0.642804559782737,0.110980512915973,0.770101755833292,0.519164266146151,0.229898244166708,0.889019487084027,0.480835733853849,0.195246712706968,1,0.880855907162499
15,"F","inland","R010",NA,NA,NA,0.000934596082998345,0.147005397668369,0.0238205529090363,0.000934596082998345,0.147005397668369,0.0238205529090363,0.179105483476,0.262574512953354,0.192183173090878,0.737425487046646,0.820894516524,0.807816826909122,1.78615719088278,191.639533427222,8.06795655049775
15,"F","inland","R011",NA,NA,NA,0.000934596082998345,0.147005397668369,0.0238205529090363,0.000934596082998345,0.147005397668369,0.0238205529090363,0.179105483476,0.262574512953354,0.192183173090878,0.737425487046646,0.820894516524,0.807816826909122,1.78615719088278,191.639533427222,8.06795655049775
15,"F","inland","R012",NA,0,NA,2.43525303307381e-05,0.101082329834399,0.0051404857003979,2.43525303307381e-05,0.101082329834399,0.0051404857003979,0.178585344303047,0.236332759905371,0.181508848971656,0.763667240094629,0.821414655696953,0.818491151028344,2.3380279926531,7333.33848826495,35.3096699828205
15,"F","inland","R013",NA,0,NA,0.00100660666264714,0.30138487197951,0.0373777259078839,0.00100660666264714,0.30138487197951,0.0373777259078839,0.179146632378656,0.350791355416863,0.19993012909022,0.649208644583137,0.820853367621344,0.80006987090978,1.16393426536896,177.971582577301,5.34891102116709
15,"F","inland","R014",NA,0,NA,0.0017456175941751,0.232618367290448,0.0447330454126172,0.0017456175941751,0.232618367290448,0.0447330454126172,0.179568924339529,0.311496209880256,0.20413316880721,0.688503790119744,0.820431075660471,0.79586683119279,1.33908949871699,102.868546267512,4.56336400706426
15,"F","inland","R015",0,0.4,NA,0.111363192940521,1,0.480510544604481,0.111363192940521,1,0.480510544604481,0.0903082718641374,0.811235018213293,0.370352881666852,0.188764981786707,0.909691728135863,0.629647118333148,0.364673230075971,1,0.822533618602904
