"ROUND","COMM","SEX","AGEYRS","UNSUPPRESSED_SHARE_AGE_BY_SEX_CL","UNSUPPRESSED_SHARE_AGE_BY_SEX_CU","UNSUPPRESSED_SHARE_AGE_BY_SEX_M","UNSUPPRESSED_SHARE_AGE_AND_SEX_CL","UNSUPPRESSED_SHARE_AGE_AND_SEX_CU","UNSUPPRESSED_SHARE_AGE_AND_SEX_M","UNSUPPRESSED_SHARE_SEX_CL","UNSUPPRESSED_SHARE_SEX_CU","UNSUPPRESSED_SHARE_SEX_M"
"10","inland","F",15,0.00920168707040293,0.0281231906660399,0.0173928696105188,0.00516858934812211,0.0161858208686939,0.00991982733562156,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",16,0.0115816523109246,0.02790028780515,0.0191519843494984,0.0065098431669944,0.0162108843942414,0.0109098563747774,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",17,0.0144568924053372,0.0284224427574279,0.021159530290862,0.00809978261542953,0.0165229756280602,0.0120571916254737,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",18,0.0177624762917921,0.0297296705432591,0.0236054373358787,0.0099588644753016,0.0172894602758028,0.0134637855914117,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",19,0.0214216439703412,0.0318122012591655,0.0264856723606397,0.0119921168827684,0.0184994478865886,0.0150786285880556,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",20,0.0251811813577809,0.0347104950501195,0.0298057245672363,0.0140725419678729,0.0202052759818858,0.0169893307313013,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",21,0.0291541795882224,0.0381846961406499,0.0334253411911153,0.0163143527671525,0.022214193290036,0.019072443623625,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",22,0.0339379516703038,0.0428433393213433,0.0380904609238317,0.0189886564599045,0.0248723832222865,0.021731670768325,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",23,0.0389492383149915,0.048207227975799,0.0432250294459457,0.0218324115644392,0.0278627344440381,0.0246660417787304,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",24,0.0428202030935236,0.0524229043531058,0.0473988562153849,0.0240291043197909,0.0303183428154352,0.0270458812434669,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",25,0.0461319812157964,0.0562719608509636,0.0511662867817766,0.0259633715124299,0.0325495538790071,0.0291670288741997,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",26,0.0487602959358179,0.0592377902230436,0.0540366390799593,0.0274053439337888,0.0342856177904481,0.0308050035627058,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",27,0.0501288859766861,0.0605953909619546,0.0554235638897967,0.0282507457613883,0.0350717852890226,0.0315968865374905,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",28,0.0503148610401472,0.0606767066100908,0.0554118329365856,0.028345764420432,0.0350143887864981,0.0316065317786717,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",29,0.0491348172141238,0.059302607043821,0.0539759307926135,0.0276847138835037,0.0341594394493888,0.0307976851917071,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",30,0.0464558581665116,0.0564622762977537,0.0511708953896535,0.0262552260211462,0.0324526917927889,0.0292152196365965,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",31,0.0423506154595819,0.0518171333426031,0.0468039504596135,0.0239399262806708,0.0297482494048471,0.0267039438846345,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",32,0.0376257129244954,0.0462618644805963,0.0417420357397261,0.0212587794988564,0.0265863886591471,0.023825818691359,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",33,0.0328316193034216,0.0406922200578642,0.0366542770103629,0.0185329928541853,0.0233885351841161,0.0209059855644862,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",34,0.0278224381196549,0.0348677424380792,0.0313085814721676,0.0157262763454936,0.0200419663803244,0.0178579033355017,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",35,0.0237418535240912,0.0302631656905703,0.0269682351977667,0.0134206466470563,0.0173985978058198,0.0153865658704494,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",36,0.0212975098713319,0.0276325620064451,0.0244123286294542,0.0120288485039149,0.0158579974690752,0.0139315862783384,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",37,0.0193998765098862,0.0255595527614822,0.0224244874970784,0.0109724533356973,0.0146501169458753,0.0127941043919672,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",38,0.0179517908592787,0.0239402006364646,0.0208366009667946,0.0101539714422154,0.0137078430014769,0.0118845748906342,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",39,0.0166580281106968,0.0224800428810158,0.0194567793136218,0.00946158606232506,0.01287470158863,0.0110994953914369,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",40,0.0152836618992067,0.0209047656107074,0.0179299283769202,0.00868393267337035,0.0119628471388143,0.010225546507141,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",41,0.0138666961796947,0.0192569658102667,0.0164101769370653,0.00787732089987185,0.0110366239706414,0.00935794336504769,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",42,0.0122747649649855,0.0174990559757903,0.0147181686669015,0.00698744964052908,0.0100346180230756,0.00839610341825505,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",43,0.0108576064925256,0.0159103369746387,0.0131941100346612,0.00616329538792445,0.00908742952910445,0.00752045916358906,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",44,0.00925839144759244,0.0140782597913224,0.0114918825413263,0.00527645876939184,0.00802168064779483,0.00655238301825989,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",45,0.00768491252851412,0.0122037859228712,0.00976963365359726,0.00437434389143188,0.00696119125190426,0.00557931854274977,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",46,0.0061374812444743,0.0103966404477328,0.00808487389460757,0.00348827854984111,0.00594833155690553,0.00461427459611017,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",47,0.00466977766434377,0.0087071136975172,0.00648715453520922,0.00265214965108564,0.00498636756046442,0.00370324596700801,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",48,0.00334505958182796,0.00711011739056716,0.0050127197287822,0.00191057093548225,0.00406091686940336,0.00285772305756861,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","F",49,0.00220512506318698,0.0056292340267759,0.00367123670533859,0.00126319485148521,0.00323060572226631,0.00209397303846005,0.53829060521294,0.603755389616212,0.570662190469403
"10","inland","M",15,0.000131813849667149,0.010304310681337,0.00193753030280396,5.68118608712011e-05,0.00446249971323295,0.000833341720367284,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",16,0.000246992220836489,0.00916139618204487,0.00237583259513326,0.000104064793457732,0.0040323261425446,0.00101817251932194,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",17,0.000488550449608197,0.00948341626159466,0.00314951008280313,0.000207580878059554,0.00411726137957178,0.00134826329263808,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",18,0.00104025540778873,0.010664484704021,0.00442780054688371,0.000440660185270591,0.00466114643881676,0.00189110224655212,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",19,0.00226362749223274,0.0125352759992644,0.0064399145146834,0.00095146141015794,0.00550439147485353,0.00276078460877245,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",20,0.00474635343568676,0.0154046876106916,0.00946382514838863,0.00201562671392056,0.00671923009089432,0.00404680232381746,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",21,0.00867487746450554,0.0199533938673134,0.0137056508823047,0.00369359765117324,0.00871025233426199,0.00587455712208089,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",22,0.0136918034006179,0.0278856324725582,0.0192637734312269,0.00579280106243857,0.012094678937217,0.00827126678767318,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",23,0.0193329647243375,0.0375047668738755,0.0258388501803641,0.00816411428883976,0.0161396364777844,0.0110946289844471,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",24,0.0254128602786652,0.0450169766435739,0.0331916012691827,0.0107396486506644,0.0195093679437629,0.0142486576769405,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",25,0.0319887736134179,0.0516139364507581,0.0409685986255853,0.013555816285104,0.0224138100655852,0.0175870323962904,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",26,0.03755824107467,0.0572235736982733,0.0473083689800714,0.0158805629699144,0.0249884534118956,0.0202432708174451,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",27,0.0412862977588165,0.0619266927290603,0.0520220293793758,0.0175352187452387,0.0270761912233078,0.0222776416864381,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",28,0.0445579137094637,0.0649410075982972,0.0553691004981361,0.0188255635312564,0.0283987204199695,0.023690450702999,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",29,0.0462267958578811,0.0649669770331958,0.0561942862287934,0.0195378517452595,0.0284928340402888,0.0240673055770341,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",30,0.0468577394088077,0.0644167182181136,0.0557094963986508,0.0197857682962135,0.0282320385962711,0.0239255272088301,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",31,0.0453015729620869,0.0633933098267386,0.0537919278537627,0.0191141993705406,0.0277197904136002,0.0230909042226017,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",32,0.0427361254340019,0.0611188173507602,0.0510310875483404,0.01806460565986,0.026633993190173,0.0218866483764669,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",33,0.0399689707575807,0.0574091548741536,0.0480112773589501,0.0169265000896683,0.0250100002526412,0.0205652249911877,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",34,0.0367120359701463,0.0524121017117579,0.0442721495837226,0.0155237063506089,0.0227998618680145,0.018981020926351,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",35,0.0334342092858547,0.0484849073240801,0.0411641995632857,0.0142197745672879,0.0211549694711705,0.0176689935702918,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",36,0.031342186101775,0.046732029256263,0.0398053765129588,0.0132753076389346,0.0203816169114264,0.0170638790312465,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",37,0.030496039220976,0.0458486803477091,0.038820972466637,0.0129150576775652,0.0199728019005031,0.0166455746566111,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",38,0.0298048788040181,0.0442344954271566,0.037032641916138,0.0126379895783873,0.0191653497134187,0.015897629476619,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",39,0.028586575517283,0.0425624324392231,0.0350081560842482,0.0121475756750369,0.0183899198643929,0.0150226804771229,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",40,0.0259736002481844,0.0402494516432392,0.0321787378837922,0.0110863717893814,0.0173956037920751,0.01381117060521,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",41,0.0227273909965025,0.0369275332911249,0.0287592924800279,0.00974244459762101,0.015938559985262,0.0123419375376512,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",42,0.0197429857422618,0.0326944103444586,0.025348931784975,0.00842751781267129,0.0140816020665156,0.0108595950811769,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",43,0.0168402320542329,0.0280534241623011,0.0218307283774807,0.00718019370443504,0.0121013739866716,0.00936604549854935,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",44,0.0137496031737351,0.0237228301780879,0.0182685184703094,0.00590599548736468,0.010187546865625,0.00784813058479207,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",45,0.0106945633328824,0.0197244153096701,0.0149684917800152,0.00457564246199348,0.00848891726344076,0.00643251947452324,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",46,0.0080459108301729,0.016551767758948,0.0120893864846513,0.00341483646480441,0.00713880772194639,0.00518507073089188,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",47,0.00597312162558257,0.0141227049842623,0.00969821719215142,0.00255817230666159,0.00607508195392013,0.00416092381349202,0.396244610383788,0.46170939478706,0.429337809530597
"10","inland","M",48,0.00431319358590922,0.0124756690937168,0.0078444590202438,0.00183269200840911,0.00536312313923569,0.00336160363029031,0.396244610383788,0.46170939478706,0.429337809530597
