"AGEYRS","SEX","COMM","ROUND","PROP_UNSUPPRESSED_EMPIRICAL","PROP_ART_COVERAGE_EMPIRICAL","SUPPRESSION_RATE_EMPIRICAL","PROP_ART_COVERAGE_CL","PROP_ART_COVERAGE_CU","PROP_ART_COVERAGE_M","PROP_DIAGNOSED_CL","PROP_DIAGNOSED_CU","PROP_DIAGNOSED_M","PROP_SUPPRESSED_CL","PROP_SUPPRESSED_CU","PROP_SUPPRESSED_M","PROP_UNSUPPRESSED_CL","PROP_UNSUPPRESSED_CU","PROP_UNSUPPRESSED_M","SUPPRESSION_RATE_CL","SUPPRESSION_RATE_CU","SUPPRESSION_RATE_M"
15,"F","fishing","R015",NA,NA,NA,0.0750353569728436,0.963112988319796,0.211104542527591,0.0750353569728436,0.963112988319796,0.211104542527591,0.0627781340585934,0.305779157574652,0.145667735163759,0.694220842425348,0.937221865941407,0.854332264836241,0.19852498036426,1,0.738932137005049
15,"F","fishing","R016",1,0,NA,0.129787214038557,0.544110601628027,0.280190976067659,0.129787214038557,0.544110601628027,0.280190976067659,0.0546935535762102,0.462999554660514,0.179374862329181,0.537000445339486,0.94530644642379,0.820625137670819,0.180161898981093,1,0.738932137005049
15,"F","fishing","R017",0,1,1,0.434470426923181,0.836574202975092,0.61648480902544,0.434470426923181,0.836574202975092,0.61648480902544,0.261088184182714,0.705136219572731,0.50569988310219,0.294863780427269,0.738911815817286,0.49430011689781,0.40790761360974,1,0.835782946179593
15,"F","fishing","R018",NA,NA,NA,0.391971693024143,0.822569391095384,0.649109045673898,0.391971693024143,0.822569391095384,0.649109045673898,0.209480384300257,0.75396349826594,0.548770838097543,0.24603650173406,0.790519615699742,0.451229161902457,0.340327934712527,1,0.929569115911358
15,"F","inland","R010",NA,NA,NA,0.000934596082998345,0.147005397668369,0.0238205529090363,0.000934596082998345,0.147005397668369,0.0238205529090363,0.148476987510684,0.199872269549982,0.156529453801327,0.800127730450018,0.851523012489315,0.843470546198672,1.35962670651015,158.867612917399,6.57119358263515
15,"F","inland","R011",NA,NA,NA,0.000934596082998345,0.147005397668369,0.0238205529090363,0.000934596082998345,0.147005397668369,0.0238205529090363,0.148476987510684,0.199872269549982,0.156529453801327,0.800127730450018,0.851523012489315,0.843470546198672,1.35962670651015,158.867612917399,6.57119358263515
15,"F","inland","R012",NA,0,NA,2.43525303307381e-05,0.101082329834399,0.0051404857003979,2.43525303307381e-05,0.101082329834399,0.0051404857003979,0.148156716631042,0.183714153089881,0.149956837561251,0.816285846910119,0.851843283368958,0.850043162438749,1.81747507538627,6083.83267174572,29.1717262079695
15,"F","inland","R013",NA,0,NA,0.00100660666264714,0.30138487197951,0.0373777259078839,0.00100660666264714,0.30138487197951,0.0373777259078839,0.148502324566487,0.254190973474272,0.161299570226848,0.745809026525728,0.851497675433513,0.838700429773152,0.843412131269061,147.528275915983,4.31539284719047
15,"F","inland","R014",NA,0,NA,0.0017456175941751,0.232618367290448,0.0447330454126172,0.0017456175941751,0.232618367290448,0.0447330454126172,0.148762346931284,0.229995351454046,0.16388755301555,0.770004648545954,0.851237653068716,0.83611244698445,0.988726102639281,85.2205717182319,3.66367976882367
15,"F","inland","R015",0,0.4,NA,0.10194557985067,1,0.636882175115832,0.10194557985067,1,0.636882175115832,0.0746867379286105,0.896650179703857,0.412303985190789,0.103349820296143,0.92531326207139,0.587696014809211,0.297390211052971,1,0.729009510666954
15,"F","inland","R016",1,0,NA,0.20108698501507,0.599366938245822,0.373654408732606,0.20108698501507,0.599366938245822,0.373654408732606,0.0787456045927996,0.483168181230636,0.233514790912293,0.516831818769364,0.9212543954072,0.766485209087707,0.201537468640511,1,0.667681507493735
15,"F","inland","R017",0.4,0.8,0.75,0.519531531571626,0.868725092140049,0.687739156916335,0.519531531571626,0.868725092140049,0.687739156916335,0.370071958565489,0.792389453046771,0.563987778609427,0.207610546953229,0.629928041434511,0.436012221390573,0.518878285578763,1,0.848029363495204
15,"F","inland","R018",0,1,1,0.58430817102357,0.95579061122735,0.799637643016672,0.58430817102357,0.95579061122735,0.799637643016672,0.460826909471073,0.944839902903269,0.746757123348998,0.0551600970967308,0.539173090528927,0.253242876651002,0.603906908557951,1,1
15,"M","fishing","R015",NA,NA,NA,0.013692577130302,1,0.118435516800013,0.013692577130302,1,0.118435516800013,0.0104969821010591,0.266073976258954,0.0753967140742213,0.733926023741046,0.989503017898941,0.924603285925779,0.0619109094617636,1,1
15,"M","fishing","R016",NA,NA,NA,0.0173456311698708,0.696635392871031,0.142834859510426,0.0173456311698708,0.696635392871031,0.142834859510426,0.00324553365369746,0.49257153379051,0.0764483370836033,0.50742846620949,0.996754466346302,0.923551662916397,0.0243509884464937,1,1
15,"M","fishing","R017",1,0,NA,0.101213554180287,0.645345325891355,0.379363104305852,0.101213554180287,0.645345325891355,0.379363104305852,0.0182976930631705,0.571438080580848,0.273847744116546,0.428561919419152,0.981702306936829,0.726152255883454,0.0636094320585163,1,0.917781517553896
15,"M","fishing","R018",NA,NA,NA,0.111365876346053,0.837098534603815,0.484951861866661,0.111365876346053,0.837098534603815,0.484951861866661,0.00772131543238526,0.716621286967539,0.275708763790476,0.283378713032461,0.992278684567615,0.724291236209524,0.0206150647500285,1,0.735179516080853
15,"M","inland","R010",NA,NA,NA,1.16833924034546e-05,0.16590088495845,0.00684461498279089,1.16833924034546e-05,0.16590088495845,0.00684461498279089,0.0909162071571913,0.19195781174742,0.0950780836713364,0.80804218825258,0.909083792842809,0.904921916328664,1.15706370463533,7782.08987760458,13.8909324447063
15,"M","inland","R011",NA,NA,NA,1.16833924034546e-05,0.16590088495845,0.00684461498279089,1.16833924034546e-05,0.16590088495845,0.00684461498279089,0.0909162071571913,0.19195781174742,0.0950780836713364,0.80804218825258,0.909083792842809,0.904921916328664,1.15706370463533,7782.08987760458,13.8909324447063
15,"M","inland","R012",NA,1,NA,0.0219231027821942,0.51369292713192,0.110110878293972,0.0219231027821942,0.51369292713192,0.110110878293972,0.104262253512791,0.403794782889442,0.157976625869965,0.596205217110558,0.895737746487209,0.842023374130035,0.786062611427327,4.755836196698,1.4347049848879
15,"M","inland","R013",NA,NA,NA,0.00143888411640246,0.35242456215825,0.0663872298260318,0.00143888411640246,0.35242456215825,0.0663872298260318,0.0917855021436271,0.305567687860025,0.131344949075856,0.694432312139975,0.908214497856373,0.868655050924144,0.867044526245546,63.7893688323811,1.97846709343135
15,"M","inland","R014",NA,0,NA,0.00759332152741486,0.369725904281941,0.0710031292028445,0.00759332152741486,0.369725904281941,0.0710031292028445,0.0955341140212437,0.316105778062637,0.134156451423551,0.683894221937363,0.904465885978756,0.865843548576449,0.854973495279688,12.5823868873537,1.88944421455452
15,"M","inland","R015",NA,0,1,0.00614960548988043,1,0.172694817059368,0.00614960548988043,1,0.172694817059368,0.00446815894190803,0.520756816188389,0.121111394555814,0.47924318381161,0.995531841058092,0.878888605444186,0.215941832292164,1,0.758494580345573
15,"M","inland","R016",0,1,1,0.243434902705374,0.900878572181571,0.51945022625555,0.243434902705374,0.900878572181571,0.51945022625555,0.104561794223514,0.756873544255731,0.350789828703508,0.243126455744269,0.895438205776486,0.649210171296492,0.193615860766513,1,0.754163803441328
15,"M","inland","R017",0,1,1,0.285391294611332,0.929571191785514,0.592139662855183,0.285391294611332,0.929571191785514,0.592139662855183,0.122156557010036,0.884776338032151,0.442529495534496,0.115223661967849,0.877843442989964,0.557470504465504,0.221117937041381,1,0.886294472927447
15,"M","inland","R018",1,0.25,0,0.267701386633302,0.729815631018084,0.535742615249431,0.267701386633302,0.729815631018084,0.535742615249431,0.0367295022781567,0.504504275539728,0.2043033795134,0.495495724460272,0.963270497721843,0.7956966204866,0.0685283299627071,1,0.399340692496918
16,"F","fishing","R015",NA,NA,1,0.084372523562804,0.79337391528601,0.212545768441686,0.084372523562804,0.79337391528601,0.212545768441686,0.0713436482691232,0.281460993510393,0.149601363826143,0.718539006489607,0.928656351730877,0.850398636173857,0.225830379488457,1,0.737187333061599
16,"F","fishing","R016",0,1,1,0.14086204895743,0.48929794882336,0.275382534089526,0.14086204895743,0.48929794882336,0.275382534089526,0.0646123104844356,0.410464837642844,0.182828455958635,0.589535162357155,0.935387689515564,0.817171544041365,0.218772815071625,1,0.737187333061599
16,"F","fishing","R017",NA,NA,NA,0.442601289387293,0.808341614387621,0.610036780214918,0.442601289387293,0.808341614387621,0.610036780214918,0.281533472373592,0.676312387874594,0.504433741316111,0.323687612125406,0.718466527626408,0.495566258683889,0.440678401230178,1,0.83803405324274
16,"F","fishing","R018",1,0,NA,0.421895777963984,0.81358011668806,0.651620591637467,0.421895777963984,0.81358011668806,0.651620591637467,0.251819518027579,0.744682496667678,0.556073333201476,0.255317503332322,0.74818048197242,0.443926666798524,0.400489837226032,1,0.923159241542894
16,"F","inland","R010",NA,0,NA,0.00107924510458473,0.123501199679542,0.023250922001353,0.00107924510458473,0.123501199679542,0.023250922001353,0.148527882536798,0.19160227396132,0.156329028111587,0.80839772603868,0.851472117463202,0.843670971888413,1.55142113960638,137.623809296716,6.72356258913803
16,"F","inland","R011",NA,0,NA,0.00107924510458473,0.123501199679542,0.023250922001353,0.00107924510458473,0.123501199679542,0.023250922001353,0.148527882536798,0.19160227396132,0.156329028111587,0.80839772603868,0.851472117463202,0.843670971888413,1.55142113960638,137.623809296716,6.72356258913803
16,"F","inland","R012",NA,0,NA,2.9373009977802e-05,0.0734584013684729,0.00486864317363945,2.9373009977802e-05,0.0734584013684729,0.00486864317363945,0.148158483096103,0.173994622703722,0.149861189264799,0.826005377296278,0.851841516903897,0.850138810735201,2.36861453667011,5044.41848400075,30.7808961596149
16,"F","inland","R013",NA,0,NA,0.00126301784392379,0.232741758648981,0.0362341368245343,0.00126301784392379,0.232741758648981,0.0362341368245343,0.148592543315455,0.230038766932049,0.160897196290114,0.769961233067951,0.851407456684546,0.839102803709886,0.988391712768689,117.651801281339,4.44048653527684
16,"F","inland","R014",NA,NA,NA,0.00230441570940945,0.192901465882632,0.0437942200830514,0.00230441570940945,0.192901465882632,0.0437942200830514,0.14895896108294,0.216020886143889,0.163557225584777,0.783979113856111,0.85104103891706,0.836442774415223,1.11985204791246,64.6414241094172,3.73467606642162
16,"F","inland","R015",NA,0,NA,0.110292176965959,1,0.587906894714219,0.110292176965959,1,0.587906894714219,0.0807158113203421,0.852729705097947,0.392085522130207,0.147270294902053,0.919284188679658,0.607914477869793,0.321092385239692,1,0.716470060289478
